"Number","Title","Year","Runtime","Genre","Ratings","Director","Total.Vote","Rated","Stars.1","Stars.2","Stars.3"
"91","Dewi Rindu",2021,100,"Drama",8.7,"Angela Gilsha",545,"21+","Achmad Megantara","Dylan Carr","Indah Nic"
"92","Teluk Alaska",2021,100,"Drama",8.7,"Syifa Hadju",545,"21+","Devano Danendra","Taha Tolu","Fadi Alaydrus"
"93","Love for Sale",2018,100,"Drama",7.5,"Andibachtiar Yusuf",1008,"21+","Gading Marten","Della Dartyan","Verdi Solaiman"
"94","Dilan 1990",2018,110,"Drama",7.2,"Pidi Baiq",3230,"13+","Fajar Bustomi","Iqbaal Dhiafakhri Ramadhan","Vanesha Prescilla"
"95","Paranoia",2021,102,"Drama",6.9,"Riri Riza",81,"R13+","Nirina Zubir","Nicholas Saputra","Caitlin North Lewis"
"96","Nanti kita cerita tentang hari ini",2020,121,"Drama",7.5,"Angga Dwimas Sasongko",1083,"13+","Rio Dewanto","Sheila Dara Aisha","Rachel Amanda"
"97","Ratu Sakti Calon Arang",1985,90,"Action",5.9,"Sisworo Gautama Putra",31,"13+","Suzzanna","Barry Prima","Amoroso Katamsi"
"98","Dear Nathan Hello Salma",2018,101,"Drama",7.6,"Indra Gunawan",285,"13+","Jefri Nichol","Amanda Rawles","Susan Sameh"
"99","Dignitate",2020,109,"Drama",6.5,"Fajar Nugros",121,"17+","Al Ghazali","Caitlin Halderman","Giorgino Abraham"
"102","Mariposa",2020,117,"Comedy",7.4,"Fajar Bustomi",673,"13+","Angga Yunanda","Adhisty Zara","Dannia Salsabila"
"103","Perjanjian dengan Iblis",2019,80,"Horror",5,"Ardy Octaviand",29,"17+","Shandy Aulia","Artika Sari Devi","Aghi Narottama"
"104","Ken Arok - Ken Dedes",1983,107,"Action",7.7,"Djun Saptohadi",19,"17+","Bram Adrianto","Baron Ahmadi","Ali Albar"
"105","Buffalo Boys",2018,102,"Action",5.8,"Mike Wiluan",1207,"17+","Yoshi Sudarso","Ario Bayu","Pevita Pearce"
"109","Permainan Binal",1995,100,"Drama",8.2,"Yonky Souhoka",20,"13+","Ibra Azhari","Windy Chindyana","Sonny Dewantara"
"110","Layla Majnun",2021,119,"Drama",6.4,"Monty Tiwa",260,"13+","Acha Septriasa","Reza Rahadian","Baim Wong"
"111","Asih",2018,77,"Horror",5.3,"Awi Suryadi",282,"17+","Shareefa Daanish","Citra Kirana","Darius Sinathrya"
"112","Ratu Ilmu Hitam",1981,90,"Horror",6.2,"Liliek Sudjio",421,"13+","Suzzanna","W.D. Mochtar","Teddy Purba"
"113","18++: Forever Love",2012,82,"Drama",7.6,"Nayato Fio Nuala",28,"13+","Reska Tania Apriadi","Adipati Dolken","Kimberly Ryder"
